game_id,genre
4101,Action
4101,Adventure
306124,Action
306124,Shooter
306124,RPG
2728,Action
2728,Shooter
2728,RPG
12756,Action
12756,Shooter
45821,Strategy
45821,Simulation
14446,Action
14446,Shooter
22121,Indie
22121,Platformer
4573,Action
4573,Shooter
4094,Action
2553,Action
2553,Shooter
2553,Adventure
15426,Action
15426,Shooter
15426,Indie
14512,RPG
14512,Strategy
3631,Action
9966,Action
18614,Action
2597,Action
2597,Adventure
4123,Action
30899,Action
42895,Action
2115,Simulation
2115,Arcade
2115,Casual
2115,Indie
9671,Action
9671,Shooter
9671,RPG
9671,Massively Multiplayer
9671,Indie
58550,Action
58550,Adventure
58550,RPG
28152,Action
28152,Shooter
28152,Adventure
13247,Action
13247,Indie
13247,Puzzle
13913,Action
13913,Shooter
13913,RPG
17857,Action
17857,Shooter
17857,Adventure
17857,RPG
46956,Adventure
46956,Indie
50778,Action
50778,Adventure
3209,Action
3209,Adventure
14962,Action
14962,RPG
18183,Strategy
19569,Action
19569,Shooter
750,RPG
11312,Action
11312,Adventure
11312,Simulation
11312,Indie
5193,Action
5193,Platformer
14016,Strategy
14016,Simulation
670682,Shooter
2518,Action
2518,Shooter
3368,Action
3368,Indie
250,Action
250,RPG
16359,RPG
16359,Indie
274480,Action
274480,Adventure
274480,Fighting
3346,Action
3346,Shooter
17803,Action
17803,Adventure
9653,Simulation
9653,Indie
10449,Action
10449,RPG
9793,Action
9793,Simulation
9793,Indie
15858,Adventure
15858,RPG
13628,Adventure
13628,Casual
13628,Indie
12320,Strategy
12320,Simulation
12320,Indie
51610,Action
51610,RPG
3554,Action
3554,Shooter
3554,Adventure
10092,Action
10092,Strategy
10092,Indie
50781,Action
50781,Adventure
50781,Massively Multiplayer
19299,RPG
10090,Adventure
10090,RPG
10090,Strategy
10090,Indie
17380,Strategy
17380,Simulation
452638,Action
452638,Adventure
452638,Indie
452638,Puzzle
452638,Platformer
19451,Action
19451,RPG
15274,Action
15274,Indie
3427,Action
3427,Adventure
3427,RPG
12569,Action
12569,RPG
12569,Casual
12569,Indie
3729,Action
3729,Adventure
3729,Family
3912,Action
3912,Shooter
3912,Strategy
3912,Indie
5161,Action
5161,Arcade
5161,Indie
5161,Puzzle
5161,Platformer
10001,Action
10001,Indie
829,Action
14062,Action
3449,Action
3449,Shooter
4729,Action
5578,Racing
678,Action
678,RPG
678,Massively Multiplayer
19452,Action
19452,Shooter
14690,Action
14690,Arcade
14690,Indie
14690,Platformer
455597,Action
455597,Adventure
455597,Platformer
2574,Action
2574,Shooter
2574,Indie
58813,Action
58813,Shooter
58813,Adventure
17174,Action
17174,Adventure
3300,Action
3300,RPG
3300,Massively Multiplayer
14317,Strategy
19375,Shooter
10064,Action
2047,Action
2047,Adventure
2047,RPG
3697,Action
3697,Shooter
3697,Indie
4179,Action
4179,RPG
47137,Action
47137,Shooter
53341,Action
53341,Sports
53341,Platformer
11974,Action
11974,Indie
11974,Platformer
12019,Action
12019,Adventure
12019,Casual
12019,Indie
12019,Platformer
2300,Strategy
2300,Casual
2300,Indie
2166,Action
2166,Adventure
295021,Adventure
295021,Simulation
295021,Indie
295021,Puzzle
397477,Action
397477,Shooter
397477,Adventure
442855,Action
442855,Adventure
442854,Action
442854,Shooter
28121,RPG
28121,Strategy
28121,Card
28121,Indie
259801,Action
259801,Adventure
259801,RPG
9551,Action
9551,Indie
4032,Action
4032,Adventure
4032,RPG
4000,Action
4000,Platformer
10040,Strategy
10040,Simulation
295,Adventure
295,RPG
295,Indie
19600,Action
19600,Shooter
5687,Arcade
3350,Adventure
3350,Casual
3350,Family
3350,Indie
3350,Puzzle
7381,Adventure
7381,Simulation
7381,Indie
9575,Adventure
9575,Simulation
9575,Sports
9575,Casual
9575,Massively Multiplayer
2100,Adventure
3647,RPG
3647,Indie
3290,Action
3290,Shooter
3290,Massively Multiplayer
5565,Action
5565,Shooter
685577,Action
685577,RPG
685577,Casual
685577,Indie
5564,Action
5564,Shooter
894,Action
894,Shooter
23557,RPG
23557,Strategy
23557,Board Games
23557,Card
23587,Action
23587,Adventure
23587,Casual
23587,Platformer
17037,Action
17037,Strategy
17037,Casual
17037,Indie
4882,Action
4882,Adventure
6879,Action
6879,Simulation
6879,Indie
13820,RPG
12929,Adventure
12929,Indie
12929,Puzzle
3052,Action
3052,Shooter
3052,Adventure
3052,Strategy
42215,Action
42215,Adventure
42215,RPG
452649,Action
452649,Adventure
3561,Indie
3561,Platformer
41490,RPG
41490,Strategy
41490,Indie
59313,Adventure
59313,Indie
59313,Puzzle
59313,Platformer
4869,Action
4869,Adventure
10428,Action
10428,Shooter
10428,Massively Multiplayer
10428,Indie
28110,Action
28110,Adventure
28110,RPG
4397,Action
4397,Shooter
248521,Action
248521,Adventure
248521,Indie
58494,Action
58494,Shooter
58494,Adventure
58494,Massively Multiplayer
16199,Action
3635,Action
3635,RPG
3635,Indie
3635,Platformer
17885,Action
17885,RPG
17885,Casual
719,Adventure
719,RPG
719,Indie
719,Puzzle
704634,Action
704634,Adventure
19647,Action
398423,RPG
13886,Action
13886,Shooter
10293,RPG
10293,Strategy
10293,Simulation
10293,Casual
10293,Indie
58764,Adventure
58764,Indie
58764,Puzzle
19491,Racing
19491,Arcade
892,Action
892,RPG
892,Indie
892,Platformer
4358,Action
34,Action
34,Platformer
4347,Racing
4347,Arcade
29153,Action
29153,Shooter
11279,Action
382,Action
382,Shooter
382,Adventure
49,Action
49,Adventure
49,RPG
5342,Shooter
58952,Adventure
45970,Action
45970,Adventure
1758,Adventure
1758,Puzzle
1259,Adventure
1259,Family
1259,Indie
1259,Puzzle
15566,Action
15566,Shooter
15829,RPG
44525,Action
44525,Adventure
44525,RPG
44525,Fighting
4581,Action
4581,Shooter
19056,Shooter
19056,RPG
1789,Action
1789,Adventure
1789,Indie
1789,Puzzle
1789,Platformer
3965,Action
3965,Shooter
15642,RPG
622492,Racing
622492,Arcade
10767,Strategy
10767,Indie
19057,Shooter
19057,RPG
19592,Action
19592,Shooter
9631,Strategy
9631,Indie
58752,Adventure
616765,Action
616765,Shooter
616765,Adventure
5636,Action
5636,Shooter
4439,Action
4439,RPG
38,Fighting
884,Action
884,Shooter
19410,Action
1140,Strategy
1140,Educational
1140,Family
1140,Indie
1140,Puzzle
4491,Action
5528,Shooter
3315,Action
3315,Adventure
3315,RPG
15317,Action
15317,Shooter
391399,Adventure
14606,Action
14606,Indie
10310,Action
10310,RPG
10310,Simulation
10310,Massively Multiplayer
10310,Indie
326252,Action
326252,Shooter
15714,Adventure
15714,RPG
9835,Action
9835,Adventure
9835,Indie
5298,Action
5298,Adventure
2805,Action
2805,Fighting
16787,Action
16787,Adventure
20405,Action
197,Action
197,RPG
197,Casual
197,Massively Multiplayer
326251,Action
326251,RPG
14334,Action
14334,Strategy
14334,Indie
4523,Action
4523,Shooter
4012,Action
4012,Adventure
58827,Action
58827,Casual
58827,Indie
29171,Action
29171,Shooter
29171,Adventure
6773,Action
6773,Shooter
6773,Adventure
29215,Adventure
17127,Action
17127,RPG
4535,Action
4535,Shooter
11970,Action
11970,Shooter
437059,Action
437059,Adventure
437059,RPG
5297,Action
5297,Adventure
18003,Adventure
18003,Indie
4387,Action
4387,Strategy
4387,Indie
4387,Platformer
366850,Action
324997,Adventure
324997,RPG
324997,Strategy
10615,Action
10615,Shooter
10615,RPG
19196,Action
19196,Strategy
19196,Simulation
17356,Action
17356,Strategy
17356,Indie
1670,Adventure
1670,RPG
1670,Strategy
1670,Indie
52939,Action
52939,Adventure
52939,RPG
19429,Action
19429,Shooter
4331,Action
4331,Arcade
4331,Family
4331,Platformer
28395,Action
28395,Shooter
13856,Action
13856,Indie
13856,Platformer
10031,Action
58133,Action
58133,Adventure
2213,Simulation
2213,Indie
42776,Adventure
42776,Casual
42776,Indie
2255,Shooter
2255,RPG
2255,Indie
452634,Action
327999,Strategy
327999,Board Games
327999,Casual
13079,Indie
58651,Action
58651,Shooter
58651,Indie
4388,Action
4388,Shooter
22859,Action
22859,RPG
204,Adventure
204,RPG
204,Strategy
204,Simulation
204,Casual
204,Indie
17252,Action
17252,Indie
17252,Platformer
263590,Action
263590,Shooter
263590,Arcade
2722,Adventure
2722,Simulation
2722,Indie
36,Action
36,Sports
36,Fighting
3265,Action
3265,Adventure
16355,Action
258322,Action
258322,Adventure
258322,Indie
258322,Platformer
4249,Action
4249,Arcade
4249,Platformer
4676,Action
4676,Adventure
4676,Indie
4676,Platformer
9545,Action
9545,Shooter
9545,Adventure
19685,Action
19685,Shooter
16191,Strategy
3562,Action
3562,RPG
1299,Action
1299,RPG
1299,Strategy
21926,Action
21926,Adventure
2434,Action
2434,Adventure
2434,Arcade
2434,Casual
2434,Indie
2434,Puzzle
2434,Platformer
9853,Action
9853,Adventure
9853,Massively Multiplayer
2778,Action
2778,Simulation
2778,Educational
2778,Indie
4612,Action
4612,Shooter
17599,Arcade
17599,Fighting
1225,Action
1225,Indie
3450,Action
3450,Adventure
2559,Action
2559,RPG
2559,Indie
2559,Platformer
3850,Action
3850,Adventure
3850,Family
3651,Action
3651,Shooter
3651,Adventure
715,Action
715,Simulation
715,Sports
60179,Action
60179,Adventure
60179,Indie
17295,Action
17295,Adventure
17295,RPG
22513,Action
22513,Shooter
516111,Action
516111,Shooter
516111,Adventure
516111,RPG
58585,Action
58585,Adventure
58585,RPG
20760,RPG
22789,Action
22789,Shooter
22789,Indie
17925,RPG
137,Action
137,RPG
3251,Sports
3251,Racing
2239,Action
2239,Arcade
4744,Action
4744,Adventure
401805,Action
401805,Adventure
401805,RPG
2354,Action
2354,Adventure
2354,Platformer
4923,Action
4923,Adventure
4923,Strategy
4923,Casual
123,Action
123,RPG
13469,Strategy
10049,Action
10049,Shooter
28261,Action
28261,Shooter
28261,Indie
3748,Action
3748,Adventure
3748,Indie
3748,Puzzle
3748,Platformer
3772,Action
3772,Adventure
3772,Arcade
19458,Action
19458,Shooter
19309,Strategy
9465,Action
9465,RPG
9465,Indie
14990,Action
14990,Adventure
14990,RPG
14990,Fighting
323065,Action
323065,Shooter
29173,Action
2913,RPG
2913,Strategy
2913,Indie
2845,Action
2845,RPG
2845,Indie
722,Action
722,Shooter
722,Massively Multiplayer
19284,RPG
19284,Strategy
50677,Action
50677,Indie
7485,Action
7485,Adventure
7485,RPG
7485,Simulation
7485,Massively Multiplayer
22597,Action
22597,Adventure
22597,RPG
3268,Action
3268,Adventure
3268,Indie
364806,Racing
364806,Arcade
18886,Action
18886,RPG
18081,Action
18081,Indie
1322,Action
4340,Action
4340,Shooter
2830,Action
2830,Adventure
2830,Arcade
2830,Puzzle
2830,Platformer
2390,Strategy
2390,Simulation
2390,Casual
2390,Indie
3494,Adventure
3494,Family
3494,Indie
9904,Strategy
22069,Action
22069,Adventure
22069,Strategy
22069,Simulation
22069,Indie
10900,RPG
10900,Indie
20980,Action
20980,Indie
20980,Platformer
13498,Action
13498,RPG
13498,Strategy
13498,Massively Multiplayer
28026,Arcade
28026,Platformer
12018,Action
12018,Shooter
12018,Adventure
4414,Action
3358,RPG
3358,Strategy
3358,Simulation
10125,Action
10125,Shooter
10125,Massively Multiplayer
11228,Action
11228,Sports
11228,Racing
11228,Casual
11228,Indie
9741,Action
9741,RPG
23702,Racing
23702,Arcade
2412,RPG
2412,Strategy
2412,Simulation
3459,Action
3459,Adventure
14989,Action
14989,Shooter
14989,RPG
3090,Racing
3090,Arcade
2767,Action
2767,Shooter
10296,Action
10296,RPG
10296,Massively Multiplayer
9494,Action
9494,Strategy
9494,Simulation
7317,Adventure
7317,Strategy
7317,Casual
7317,Puzzle
19380,Action
19380,RPG
13273,Adventure
13273,Indie
18184,Action
18184,Strategy
2556,Action
2556,Indie
2556,Platformer
9744,Adventure
9744,Puzzle
22162,Action
22162,Adventure
22162,Indie
18726,Action
18726,RPG
236694,Action
236694,Adventure
236694,RPG
19633,Racing
19633,Arcade
10050,Action
10050,Simulation
19439,Action
19439,RPG
21736,Action
21736,Shooter
20569,Strategy
401,Action
401,RPG
3468,Action
3468,Indie
122,Adventure
122,Strategy
122,Simulation
122,Indie
9782,Action
10327,Strategy
10327,Simulation
10327,Indie
10327,Puzzle
29,Adventure
29,RPG
46597,Action
46597,Indie
27938,Action
27938,Adventure
27938,Indie
27938,Platformer
11567,Action
11567,RPG
11567,Strategy
11567,Indie
3501,Adventure
3501,Puzzle
3501,Platformer
22938,Action
22938,Shooter
1830,Adventure
1830,RPG
1830,Strategy
1830,Indie
9824,Action
9824,Fighting
11663,Action
11663,Shooter
11663,Adventure
11663,Arcade
11663,Indie
427930,Action
427930,Indie
14072,Strategy
14072,Simulation
2139,Action
2139,Adventure
2139,RPG
2139,Indie
19560,Action
19560,Shooter
12980,RPG
12980,Strategy
11425,Simulation
11425,Family
58698,Action
58698,Adventure
2055,Simulation
2055,Board Games
2055,Casual
2055,Indie
10436,Sports
10436,Casual
10436,Indie
10926,Strategy
10926,Simulation
10926,Casual
10926,Indie
10537,Action
10537,Shooter
15860,Action
15860,Adventure
10281,Strategy
10281,Simulation
10281,Indie
19369,Shooter
23191,Action
23191,Adventure
23191,RPG
23191,Strategy
23191,Indie
99,Adventure
99,Simulation
99,Casual
99,Indie
99,Puzzle
4602,Action
4602,Shooter
4361,Action
4361,Arcade
4361,Family
4361,Platformer
10393,Action
10393,Adventure
10393,RPG
19397,Action
19397,RPG
9515,Action
9515,Adventure
9515,Puzzle
4477,Action
4477,Shooter
13570,Strategy
13570,Simulation
13570,Casual
13570,Indie
2131,Action
2131,Racing
2131,Arcade
2131,Indie
244716,Simulation
244716,Sports
244716,Racing
372576,RPG
372576,Massively Multiplayer
22508,Action
22508,Shooter
22508,Casual
22508,Massively Multiplayer
2889,Action
2889,Adventure
2889,Indie
2889,Platformer
13387,Action
13387,Shooter
13387,Indie
842,Action
842,Shooter
17357,Action
17357,Strategy
17357,Indie
19584,Action
19584,RPG
906547,Action
906547,RPG
4206,Action
4206,Shooter
4206,Adventure
4206,Indie
59023,Action
59023,Shooter
59023,Arcade
339961,Action
339961,Adventure
13909,Action
13909,Adventure
18287,Action
18287,Strategy
18287,Simulation
18287,Indie
791638,Action
791638,Fighting
19568,Action
19568,Adventure
35561,Action
35561,Shooter
12884,Action
12662,Action
12662,Adventure
4111,Action
4111,RPG
61961,Action
61961,Sports
61961,Casual
61961,Indie
9736,Action
9736,Adventure
9736,Simulation
9736,Indie
18185,Strategy
17158,Arcade
17158,Casual
12757,RPG
12757,Strategy
58640,Action
61176,Action
61176,Adventure
2287,Adventure
2287,Simulation
2287,Indie
2287,Puzzle
9495,Action
9495,Strategy
9495,Simulation
31771,Action
31771,RPG
4520,Action
4520,Adventure
20992,Action
20992,Adventure
20992,Indie
5711,Action
5711,RPG
5711,Indie
313843,Action
445442,Adventure
445442,Indie
445442,Puzzle
4186,RPG
17975,Action
17975,Shooter
4483,Action
4483,Shooter
16856,Indie
7439,Action
7439,Shooter
16649,Action
16649,Indie
3838,Racing
3838,Arcade
5706,Action
5706,RPG
5706,Strategy
15861,Action
13512,Action
13512,Strategy
13512,Indie
28631,Action
28631,RPG
28615,Action
28615,Shooter
5538,Action
5538,RPG
13525,Action
13525,Adventure
13566,RPG
13566,Strategy
13566,Indie
3601,Action
54491,Action
54491,Shooter
58735,Action
58735,Adventure
58735,Puzzle
58735,Platformer
17676,Action
17676,Shooter
14211,Action
14211,Adventure
14211,RPG
14211,Indie
887,Action
887,Shooter
5678,Adventure
5678,RPG
5678,Indie
57908,Action
57908,Shooter
57908,Adventure
57908,Platformer
2296,Action
2296,Adventure
58754,Action
58754,Shooter
58754,Adventure
58754,RPG
10389,Action
10389,RPG
9871,Action
9871,Simulation
9871,Indie
50418,Adventure
50418,RPG
50418,Indie
17998,Indie
17998,Puzzle
2639,Adventure
2639,Family
18449,Action
18449,RPG
3726,Racing
11214,Adventure
11214,RPG
11214,Strategy
11214,Simulation
11214,Indie
9831,Action
9831,Adventure
9831,Massively Multiplayer
16543,Action
16543,Family
4571,Action
4571,RPG
4571,Strategy
4571,Indie
295019,Action
295019,Adventure
295019,RPG
3400,Action
3400,Shooter
17179,Action
17179,Adventure
59197,Action
59197,Sports
59197,Racing
59197,Indie
22790,Action
22790,Shooter
22790,Indie
693,Action
693,Puzzle
3863,Action
3863,Adventure
3863,RPG
4154,Action
4154,Shooter
966,Sports
966,Racing
966,Family
13199,Adventure
13199,RPG
13199,Strategy
13199,Simulation
13199,Casual
13199,Indie
965,Action
965,Adventure
11887,Action
11887,Adventure
11887,RPG
11887,Massively Multiplayer
11887,Indie
58758,Action
58758,Adventure
58758,RPG
22961,Action
22961,Shooter
22961,Adventure
10602,Action
10602,Indie
58890,Racing
58890,Arcade
20466,Strategy
9811,Action
9811,Massively Multiplayer
9811,Indie
13925,Action
13925,Adventure
392019,Action
392019,Shooter
392019,Adventure
10724,Action
10724,Simulation
10724,Racing
10724,Massively Multiplayer
46399,Action
46399,Adventure
46399,RPG
46399,Strategy
46399,Simulation
46399,Indie
47326,Action
47326,Adventure
1612,Action
1612,Arcade
1612,Casual
1612,Indie
10056,Action
10056,Shooter
17545,Action
17545,Adventure
10342,Simulation
10342,Sports
10342,Racing
14422,Action
10545,Action
10545,Massively Multiplayer
10980,Action
10980,RPG
10980,Indie
4466,Action
4466,Adventure
4466,RPG
4466,Puzzle
9997,Action
9997,Shooter
9997,Strategy
9997,Simulation
479694,Adventure
479694,Strategy
479694,Indie
3374,Action
3374,Adventure
3374,Indie
3374,Puzzle
29658,Action
29658,RPG
15851,Action
15851,Shooter
9911,Action
9911,RPG
9911,Strategy
9911,Indie
464,RPG
464,Strategy
4031,Action
4031,Shooter
4031,Adventure
28589,Shooter
441,Action
441,Adventure
441,RPG
339958,Adventure
339958,RPG
50214,Action
50214,Shooter
50214,Massively Multiplayer
271,Strategy
271,Simulation
271,Arcade
271,Casual
271,Indie
9659,Action
9659,Adventure
19908,Action
19908,Family
22397,Strategy
19655,Action
19655,Adventure
19655,Indie
16813,Action
16813,RPG
16813,Indie
58835,Action
58835,Adventure
58835,RPG
17854,Action
17854,Indie
16161,Action
16161,Indie
709,Action
709,Shooter
51687,RPG
51687,Simulation
10665,Action
10665,Indie
10309,Strategy
28613,Shooter
46560,Action
46560,Casual
46560,Indie
11164,Action
11164,Indie
11164,Platformer
22846,Action
22846,Simulation
23479,Adventure
23479,RPG
23479,Casual
23479,Indie
637477,Action
637477,Shooter
46508,Adventure
46508,Indie
43,Adventure
10023,Action
10023,RPG
10023,Indie
1073,Simulation
1073,Indie
1073,Puzzle
17844,Action
17844,RPG
2659,Racing
2659,Massively Multiplayer
28418,Action
28418,RPG
28580,Action
28580,Adventure
28580,RPG
58859,Action
58859,Adventure
58859,RPG
11460,Adventure
11460,Indie
28619,Shooter
38965,RPG
