game_id,tag
11859,Valve Anti-Cheat enabled
11859,Robots
11859,Commentary available
11859,Cartoony
11859,Cartoon
11859,Class-Based
11859,Trading
2454,Singleplayer
2454,Multiplayer
2454,Atmospheric
2454,Great Soundtrack
2454,Co-op
2454,cooperative
2454,First-Person
2454,Sci-fi
2454,Partial Controller Support
2454,Horror
2454,FPS
2454,Gore
2454,Difficult
2454,Classic
2454,Zombies
2454,Memes
2454,Fast-Paced
2454,Remake
2454,Blood
2454,Demons
41494,Singleplayer
41494,Atmospheric
41494,Great Soundtrack
41494,RPG
41494,Story Rich
41494,Open World
41494,First-Person
41494,Sci-fi
41494,FPS
41494,Exploration
41494,Sandbox
41494,Violent
41494,Action-Adventure
41494,Action RPG
41494,role-playing
41494,Nudity
41494,Mature
41494,Cinematic
41494,Futuristic
41494,Sexual Content
41494,Cyberpunk
41494,Crime
41494,Robots
41494,3rd-Person Perspective
41494,Blood
41494,America
41494,Masterpiece
41494,Soundtrack
41494,Hacking
41494,Role Playing Game
41494,immersive
41494,Photorealistic
422,Singleplayer
422,Steam Achievements
422,Multiplayer
422,Full controller support
422,Steam Cloud
422,Atmospheric
422,steam-trading-cards
422,RPG
422,Co-op
422,Open World
422,2D
422,Online Co-Op
422,Exploration
422,Sandbox
422,Survival
422,Online multiplayer
422,Pixel Graphics
422,role-playing
422,Family Friendly
422,controller support
422,Replay Value
422,Crafting
422,Building
422,overlay
10213,Multiplayer
10213,steam-trading-cards
10213,RPG
10213,Co-op
10213,cooperative
10213,Online Co-Op
10213,Fantasy
10213,Difficult
10213,Free to Play
10213,Action RPG
10213,Steam Workshop
10213,PvP
10213,In-App Purchases
10213,Character Customization
10213,Replay Value
10213,Team-Based
10213,RTS
10213,Competitive
10213,Valve Anti-Cheat enabled
10213,Tower Defense
10213,MOBA
10213,e-sports
10213,SteamVR Collectibles
766,Singleplayer
766,Multiplayer
766,steam-trading-cards
766,RPG
766,Co-op
766,cooperative
766,Third Person
766,Sci-fi
766,Partial Controller Support
766,FPS
766,Online Co-Op
766,Free to Play
766,Third-Person Shooter
766,Space
766,role-playing
766,Hack and Slash
766,In-App Purchases
766,Futuristic
766,Parkour
766,Cyberpunk
766,PvE
766,Ninja
766,looter shooter
4459,Singleplayer
4459,Multiplayer
4459,Atmospheric
4459,Co-op
4459,Open World
4459,cooperative
4459,Third Person
4459,Partial Controller Support
4459,Funny
4459,Gore
4459,Classic
4459,Sandbox
4459,Third-Person Shooter
4459,Moddable
4459,Crime
4459,Dark Humor
4459,Satire
4459,first person mod
4459,Bowling
3272,Singleplayer
3272,Steam Achievements
3272,Multiplayer
3272,Full controller support
3272,Steam Cloud
3272,steam-trading-cards
3272,Great Soundtrack
3272,Co-op
3272,cooperative
3272,Online Co-Op
3272,Funny
3272,Split Screen
3272,Local Co-Op
3272,Local Multiplayer
3272,stats
3272,Steam Workshop
3272,Cross-Platform Multiplayer
3272,Team-Based
3272,Fast-Paced
3272,Competitive
3272,4 Player Local
3272,4 giocatori divano
3272,Football
3272,Soccer
3272,lan party
278,Singleplayer
278,Atmospheric
278,Great Soundtrack
278,RPG
278,Story Rich
278,Open World
278,Third Person
278,Sci-fi
278,Exploration
278,Female Protagonist
278,Stealth
278,Action RPG
278,role-playing
278,exclusive
278,Post-apocalyptic
278,Cinematic
278,Futuristic
278,Robots
