game_id,platform
25,PlayStation 4
25,Android
17576,PlayStation 4
17576,Xbox 360
17576,Xbox One
17576,PlayStation 3
17576,macOS
17576,PC
9810,Nintendo Switch
9810,Xbox One
9810,PlayStation 4
9810,Linux
9810,macOS
9810,PC
9810,iOS
480,macOS
480,PlayStation 4
480,PC
480,Xbox One
480,Nintendo Switch
923,Xbox One
923,PlayStation 4
923,PC
10065,Xbox One
10065,PC
10065,macOS
10065,Linux
10065,Nintendo Switch
10065,PlayStation 4
3387,PlayStation 4
3254,PC
3254,iOS
3254,PlayStation 4
3254,PlayStation 3
17572,PlayStation 3
17572,PC
17572,PlayStation 4
17572,Xbox 360
9743,PlayStation 4
9743,Linux
9743,macOS
9743,PC
9743,Nintendo Switch
9743,Xbox One
45969,Xbox One
45969,PC
45969,PlayStation 4
13910,PC
13910,Android
13910,iOS
13910,Xbox 360
13910,PlayStation 3
13910,macOS
13627,Xbox Series S/X
13627,Nintendo Switch
13627,Xbox One
13627,PC
13627,macOS
13627,Linux
13627,PlayStation 4
13627,PS Vita
13554,Classic Macintosh
13554,PC
13554,Linux
13554,macOS
28179,PlayStation 4
28179,macOS
28179,Linux
28179,Xbox One
28179,Nintendo Switch
28179,PC
5525,Xbox 360
5525,PlayStation 3
5525,Xbox One
5525,iOS
5525,PC
5525,Linux
5525,macOS
18240,PlayStation 3
18240,Xbox One
18240,iOS
18240,Nintendo Switch
18240,Xbox 360
18240,PlayStation 4
18240,Android
18240,PC
1416,PlayStation 3
1416,Xbox 360
1416,PC
1416,Xbox One
23585,PlayStation 4
23585,PC
23585,Xbox One
3687,Xbox One
3687,Wii U
3687,Xbox 360
3687,PlayStation 3
3687,PlayStation 4
3687,PC
51329,Xbox One
51329,PC
51329,PlayStation 4
51329,macOS
51329,Linux
2361,PlayStation 3
2361,Xbox One
2361,iOS
2361,PC
2361,macOS
2361,Linux
2361,Xbox 360
2361,PlayStation 2
2361,PlayStation 4
2361,Xbox
28201,PC
28201,PlayStation 5
28201,Xbox One
28201,PlayStation 4
2743,PC
2743,PlayStation 4
2743,PlayStation 3
1450,Nintendo Switch
1450,PC
1450,iOS
1450,macOS
1450,Xbox One
1450,PlayStation 4
9830,Xbox One
9830,Android
9830,iOS
9830,PC
9830,macOS
9830,Nintendo Switch
9830,PlayStation 4
50734,Xbox One
50734,PC
50734,PlayStation 4
4280,PlayStation 3
4280,PC
4280,Xbox 360
4280,macOS
3931,PlayStation 3
3931,PC
3931,Xbox One
3931,PlayStation 4
3931,Xbox 360
3931,Linux
8488,Xbox One
8488,PC
8488,PlayStation 4
8488,Xbox Series S/X
8488,PlayStation 5
2819,macOS
2819,Linux
2819,Nintendo Switch
2819,PlayStation 4
2819,Xbox One
2819,PC
2093,Nintendo Switch
2093,Xbox One
