game_id,store
58654,PlayStation Store
58654,Steam
3678,Steam
3678,PlayStation Store
3678,Xbox Store
4502,Xbox Store
4502,PlayStation Store
4502,Steam
4502,Xbox 360 Store
28568,Steam
28568,Xbox Store
28568,Xbox 360 Store
28154,PlayStation Store
28154,GOG
28154,Steam
28154,Xbox Store
28154,Nintendo Store
11052,GOG
11052,Steam
11052,Xbox Store
2235,App Store
2235,GOG
2235,Steam
2235,PlayStation Store
2235,Nintendo Store
2235,Xbox 360 Store
2235,Google Play
262382,Steam
262382,GOG
262382,Epic Games
262382,App Store
262382,PlayStation Store
262382,Nintendo Store
326243,Steam
326243,PlayStation Store
326243,Xbox Store
58777,PlayStation Store
58777,Xbox Store
58777,Nintendo Store
58777,Steam
28153,Steam
28153,PlayStation Store
28153,Xbox Store
356714,App Store
356714,itch.io
356714,Steam
356714,Nintendo Store
356714,Google Play
10340,GOG
10340,Steam
58751,Steam
58751,Xbox Store
1010,App Store
1010,itch.io
1010,PlayStation Store
1010,Steam
1010,Nintendo Store
1010,GOG
1010,Epic Games
2792,PlayStation Store
2792,Epic Games
2792,Steam
2792,GOG
2792,Xbox Store
2792,App Store
3876,PlayStation Store
3876,App Store
3876,GOG
3876,Steam
3876,Nintendo Store
1682,PlayStation Store
1682,Steam
1682,GOG
1682,Xbox 360 Store
1682,Google Play
1682,Xbox Store
1682,App Store
1682,Epic Games
4003,PlayStation Store
4003,Steam
4003,Xbox 360 Store
998,Steam
998,PlayStation Store
998,Xbox Store
18613,Steam
3497,PlayStation Store
3497,Xbox Store
3497,Steam
3497,Xbox 360 Store
13461,PlayStation Store
13461,Nintendo Store
13461,Steam
13461,Xbox 360 Store
13461,Xbox Store
1256,Epic Games
1256,GOG
1256,PlayStation Store
1256,Steam
1256,App Store
1256,Xbox Store
17959,Nintendo Store
17959,Steam
17959,Xbox Store
15002,Epic Games
15002,Steam
12024,Steam
22571,Xbox Store
22571,Steam
22571,PlayStation Store
4527,PlayStation Store
4527,Steam
4527,Xbox 360 Store
4527,Xbox Store
4599,Xbox Store
4599,PlayStation Store
4599,Steam
4599,GOG
4599,Xbox 360 Store
13268,Epic Games
13268,Steam
13268,GOG
10560,Steam
11435,Steam
11435,App Store
3853,PlayStation Store
3853,Steam
3853,GOG
3853,Nintendo Store
19590,Steam
10297,PlayStation Store
10297,Xbox Store
10297,Epic Games
10297,Steam
10297,Nintendo Store
10297,App Store
3168,Epic Games
3168,PlayStation Store
3168,Steam
3168,GOG
3168,Xbox Store
13305,Steam
13305,PlayStation Store
13305,Nintendo Store
13305,Xbox Store
13305,Xbox 360 Store
28172,Epic Games
28172,Steam
28172,PlayStation Store
28172,GOG
28172,Xbox Store
1090,GOG
1090,Epic Games
1090,Steam
1090,Google Play
1090,Nintendo Store
1090,App Store
4013,Nintendo Store
4013,GOG
4013,Xbox Store
4013,Steam
4013,Xbox 360 Store
3766,Xbox Store
3766,Steam
3766,PlayStation Store
3766,Xbox 360 Store
10061,Steam
10061,PlayStation Store
10061,Xbox Store
10061,Epic Games
4544,Steam
4544,Xbox Store
4544,PlayStation Store
4544,Xbox 360 Store
17352,Steam
952,App Store
952,Steam
952,GOG
952,Google Play
952,Epic Games
432,PlayStation Store
432,Steam
432,Google Play
432,App Store
51325,PlayStation Store
28202,PlayStation Store
28202,GOG
28202,Steam
28202,Xbox Store
28202,Nintendo Store
906,Xbox 360 Store
906,PlayStation Store
906,Steam
906,Xbox Store
11726,Steam
11726,GOG
11726,Nintendo Store
11726,Xbox Store
11726,PlayStation Store
11726,itch.io
11726,App Store
11726,Epic Games
1358,Google Play
1358,itch.io
1358,PlayStation Store
1358,App Store
1358,GOG
1358,Steam
43877,Steam
3474,Xbox Store
3474,Steam
3474,PlayStation Store
18272,Steam
18272,Google Play
10548,Nintendo Store
10548,Epic Games
10548,Steam
10548,PlayStation Store
10548,Xbox Store
10073,Steam
10073,GOG
28492,Xbox 360 Store
3990,PlayStation Store
559,Xbox Store
559,Steam
559,PlayStation Store
559,Nintendo Store
559,Google Play
559,App Store
10419,PlayStation Store
10419,Nintendo Store
10419,Steam
10419,Xbox Store
10419,Epic Games
3757,PlayStation Store
3757,Steam
3757,Xbox Store
3757,Xbox 360 Store
3757,Nintendo Store
3740,PlayStation Store
3740,Epic Games
3740,GOG
3740,Steam
3740,Xbox 360 Store
3740,App Store
3740,itch.io
3740,Nintendo Store
19542,Steam
59359,Nintendo Store
59359,PlayStation Store
59359,GOG
59359,Steam
59359,Xbox Store
59359,Epic Games
2572,PlayStation Store
2572,Xbox Store
2572,Steam
2572,App Store
21265,Steam
4954,PlayStation Store
4954,Steam
4954,Xbox 360 Store
1244,PlayStation Store
1244,Steam
1244,GOG
1244,Nintendo Store
1244,Xbox Store
1244,Epic Games
14348,Epic Games
14348,Steam
15859,Xbox Store
15859,Steam
15859,GOG
15859,Xbox 360 Store
15859,Google Play
15859,App Store
15859,Nintendo Store
56184,Google Play
56184,PlayStation Store
56184,App Store
56184,Steam
8146,PlayStation Store
8146,Steam
8146,Xbox Store
857,Xbox Store
857,Steam
9475,GOG
9475,Steam
9475,PlayStation Store
865,App Store
865,Xbox Store
865,Steam
865,Nintendo Store
865,Xbox 360 Store
3015,Xbox Store
3015,Steam
3015,Xbox 360 Store
19384,Steam
4639,Xbox Store
4639,PlayStation Store
4639,Steam
4639,Xbox 360 Store
3486,Nintendo Store
3486,App Store
3486,GOG
3486,PlayStation Store
3486,Steam
3486,Xbox 360 Store
3486,Google Play
18241,Xbox 360 Store
18241,PlayStation Store
18241,Xbox Store
18241,Steam
6617,Xbox Store
6617,Steam
4550,PlayStation Store
4550,Xbox Store
4550,Steam
4550,Xbox 360 Store
3932,Steam
3932,PlayStation Store
3932,GOG
16112,Xbox Store
16112,PlayStation Store
16112,Steam
3771,Epic Games
3771,PlayStation Store
3771,Steam
3771,Nintendo Store
3771,Xbox 360 Store
3771,Xbox Store
58755,Xbox Store
58755,Steam
28623,Nintendo Store
28623,PlayStation Store
28623,Xbox 360 Store
28623,Steam
492,GOG
492,Xbox Store
492,PlayStation Store
492,Steam
5562,PlayStation Store
5562,Xbox Store
5562,Steam
5562,Xbox 360 Store
17875,Epic Games
17875,Steam
17875,Xbox 360 Store
17875,GOG
